جنسیت,سهمیه,شهر,رتبه کشوری,رتبه در سهمیه,نوع بذیرش,دانشگاه,رشته
مرد,1,تبریز,1078,381,  روزانه, دانشگاه علوم پزشکی تبریز ,پزشکی 
زن,1,اصفهان,1088,383,  روزانه, دانشگاه علوم پزشکی اصفهان  ,داروسازی 
زن,1,مشهد,1091,384,  روزانه, دانشگاه علوم پزشکی مشهد  ,پزشکی 
زن,1,مشهد,1097,386, پردیس خودگردان یا ظرفیت مازاد, دانشگاه علوم پزشکی مشهد  ,دندانپزشکی 
زن,1,تبریز,1122,390,  روزانه, دانشگاه علوم پزشکی تبریز ,پزشکی 
مرد,1,تهران,1129,391, پردیس خودگردان یا ظرفیت مازاد, دانشگاه علوم پزشکی شهید بهشتی  ,پزشکی 
زن,1,اصفهان,1135,394,  روزانه, دانشگاه علوم پزشکی اصفهان  ,پزشکی 
مرد,1,تهران,1139,395, روزانه, دانشگاه علوم پزشکی ایران  ,پزشکی 
مرد,1,شیراز,1147,397, روزانه, دانشگاه علوم پزشکی شیراز  ,پزشکی 
مرد,1,تهران,1147,397,  روزانه, دانشگاه علوم پزشکی شیراز  ,پزشکی 
زن,1,تبریز,1154,400, روزانه, دانشگاه علوم پزشکی تبریز ,پزشکی 
زن,1,اصفهان,1158,402,  روزانه, دانشگاه علوم پزشکی اصفهان  ,پزشکی 
مرد,1,شیراز,1160,403,  روزانه, دانشگاه علوم پزشکی شیراز  ,دندانپزشکی 
مرد,1,تهران,1165,404, پردیس خودگردان یا ظرفیت مازاد, دانشگاه علوم پزشکی شهید بهشتی  ,دندانپزشکی 
مرد,1,تبریز,1168,405,  روزانه, دانشگاه علوم پزشکی تبریز ,پزشکی 
زن,1,تهران,1172,407, پردیس خودگردان یا ظرفیت مازاد, دانشگاه علوم پزشکی شهید بهشتی  ,پزشکی 
زن,1,مشهد,1176,409,  روزانه, دانشگاه علوم پزشکی مشهد  ,پزشکی 
مرد,1,تهران,1185,412,  روزانه, دانشگاه علوم پزشکی کرج  ,پزشکی 
مرد,1,تهران,1189,413,  روزانه, دانشگاه علوم پزشکی مشهد  ,پزشکی 
مرد,1,مشهد,1193,415,  روزانه, دانشگاه علوم پزشکی مشهد  ,پزشکی 
زن,1,تهران,1196,417,  روزانه, دانشگاه علوم پزشکی شیراز  ,پزشکی 
مرد,1,اصفهان,1196,417,  روزانه, دانشگاه علوم پزشکی اصفهان  ,پزشکی 
مرد,1,تبریز,1207,421,  روزانه, دانشگاه علوم پزشکی تبریز ,دندانپزشکی 
زن,1,مشهد,1207,421,  روزانه, دانشگاه علوم پزشکی مشهد  ,پزشکی 
زن,1,اصفهان,1240,431,  روزانه, دانشگاه علوم پزشکی اصفهان  ,پزشکی 
مرد,1,تبریز,1257,437,  روزانه, دانشگاه علوم پزشکی تبریز ,دندانپزشکی 
